ticker,verdict,mos,confidence,alpha_score,explainability,tensions,bull_case,bear_case,key_assumptions,changes_call,note,crosscheck_class,crosscheck_cause
INFY,BUY,0.6431217327460126,high,58.4,Weakly-justified,claims market is +64% wrong on a liquid name,model sees +64% to blended fair value; returns on equity of 32% evidence a real franchise; trades 15x vs sector-normal 25x; street consensus +26%,TENSION: claims market is +64% wrong on a liquid name,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Agree,
WEBELSOLAR,BUY,0.6188829625313877,medium,51.6,Weakly-justified,claims market is +62% wrong on a liquid name,model sees +62% to blended fair value; returns on equity of 48% evidence a real franchise; trades 15x vs sector-normal 28x,TENSION: claims market is +62% wrong on a liquid name,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
SONATSOFTW,BUY,0.5537245360726016,high,39.9,Weakly-justified,own Alpha Score 40 (weak) contradicts the buy,model sees +55% to blended fair value; returns on equity of 24% evidence a real franchise; trades 18x vs sector-normal 25x; street consensus +6%,TENSION: own Alpha Score 40 (weak) contradicts the buy,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
CHALET,BUY,0.5161624458332322,high,60.2,Justified,,model sees +52% to blended fair value; returns on equity of 17% evidence a real franchise; trades 29x vs sector-normal 42x; street consensus +16%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
WIPRO,BUY,0.51603813001542,high,50.9,Justified,,model sees +52% to blended fair value; trades 14x vs sector-normal 25x,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
HCLTECH,BUY,0.51582593183737,high,51.4,Justified,,model sees +52% to blended fair value; returns on equity of 22% evidence a real franchise; trades 20x vs sector-normal 25x,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
TCS,BUY,0.45964158064104527,high,55.5,Justified,,model sees +46% to blended fair value; returns on equity of 46% evidence a real franchise; trades 17x vs sector-normal 25x; street consensus +6%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
INDIAMART,BUY,0.4123336281763823,high,59.7,Justified,,model sees +41% to blended fair value; returns on equity of 20% evidence a real franchise; trades 24x vs sector-normal 42x; street consensus +21%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
EMAMILTD,BUY,0.39971887793351596,high,62.0,Justified,,model sees +40% to blended fair value; returns on equity of 27% evidence a real franchise; trades 23x vs sector-normal 42x; street consensus +36%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
LEMONTREE,BUY,0.3866425073574831,high,60.0,Justified,,model sees +39% to blended fair value; returns on equity of 21% evidence a real franchise; street consensus +37%,—,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
HEXT,BUY,0.37872605265784887,high,44.9,Justified,,model sees +38% to blended fair value; returns on equity of 20% evidence a real franchise; street consensus +41%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
GPPL,BUY,0.37664434331120106,medium,67.8,Justified,,model sees +38% to blended fair value; returns on equity of 22% evidence a real franchise; trades 14x vs sector-normal 26x; Alpha Score 68 (multi-factor support); street consensus +14%,—,Rests on: sector-derived discount rate (LOGISTICS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
INDUSTOWER,BUY,0.3752775665454349,high,66.5,Justified,,model sees +38% to blended fair value; returns on equity of 18% evidence a real franchise; trades 15x vs sector-normal 32x; Alpha Score 66 (multi-factor support); street consensus +12%,—,Rests on: sector-derived discount rate (TELECOM); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
LUPIN,BUY,0.35638257925447075,high,73.8,Justified,,model sees +36% to blended fair value; returns on equity of 24% evidence a real franchise; trades 21x vs sector-normal 30x; Alpha Score 74 (multi-factor support),—,Rests on: sector-derived discount rate (PHARMA); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Agree,
ZENSARTECH,BUY,0.3195680664330415,high,45.8,Justified,,model sees +32% to blended fair value; returns on equity of 16% evidence a real franchise; trades 15x vs sector-normal 25x; street consensus +17%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
ZYDUSLIFE,BUY,0.31904984573079315,high,67.6,Justified,,model sees +32% to blended fair value; returns on equity of 19% evidence a real franchise; trades 23x vs sector-normal 30x; Alpha Score 68 (multi-factor support),—,Rests on: sector-derived discount rate (PHARMA); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
NMDC,BUY,0.2520328125508649,high,74.0,Justified,,model sees +25% to blended fair value; returns on equity of 22% evidence a real franchise; Alpha Score 74 (multi-factor support); street consensus +7%,—,Rests on: sector-derived discount rate (METAL); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
CRIZAC,BUY,0.2241588377981403,medium,60.0,Justified,,model sees +22% to blended fair value; returns on equity of 37% evidence a real franchise; trades 15x vs sector-normal 28x; street consensus +110%,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
GRINFRA,ACCUMULATE,0.9301256545643602,medium,59.8,Weakly-justified,claims market is +93% wrong on a liquid name,model sees +93% to blended fair value; trades 10x vs sector-normal 15x; street consensus +61%,thin 10% returns on equity; TENSION: claims market is +93% wrong on a liquid name,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
MASTEK,ACCUMULATE,0.877417539602734,medium,50.3,Weakly-justified,claims market is +88% wrong on a liquid name,model sees +88% to blended fair value; trades 14x vs sector-normal 25x; street consensus +15%,TENSION: claims market is +88% wrong on a liquid name,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
LGBBROSLTD,ACCUMULATE,0.829988576919325,medium,64.0,Weakly-justified,claims market is +83% wrong on a liquid name,model sees +83% to blended fair value; trades 15x vs sector-normal 32x; street consensus +33%,TENSION: claims market is +83% wrong on a liquid name,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
PNGJL,ACCUMULATE,0.7904349053044782,medium,64.4,Weakly-justified,claims market is +79% wrong on a liquid name,model sees +79% to blended fair value; returns on equity of 21% evidence a real franchise; trades 20x vs sector-normal 38x; street consensus +38%,TENSION: claims market is +79% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
REDINGTON,ACCUMULATE,0.7882281286149788,high,50.0,Unjustifiable,net margin 1.1% — fragile economics for conviction upside | claims market is +79% wrong on a liquid name,model sees +79% to blended fair value; street consensus +13%,TENSION: net margin 1.1% — fragile economics for conviction upside; TENSION: claims market is +79% wrong on a liquid name,Rests on: sector-derived discount rate (DISTRIBUTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
LTFOODS,ACCUMULATE,0.7822627992996695,high,46.3,Weakly-justified,claims market is +78% wrong on a liquid name,model sees +78% to blended fair value; trades 21x vs sector-normal 42x; street consensus +30%,TENSION: claims market is +78% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
PATELENG,ACCUMULATE,0.7746016734121137,medium,50.2,Unjustifiable,single-digit ROE 6% under a buy call | claims market is +77% wrong on a liquid name,model sees +77% to blended fair value; trades 10x vs sector-normal 15x; street consensus +12%,thin 6% returns on equity; TENSION: single-digit ROE 6% under a buy call; TENSION: claims market is +77% wrong on a liquid name,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
JUSTDIAL,ACCUMULATE,0.758337022157543,medium,45.7,Weakly-justified,claims market is +76% wrong on a liquid name,model sees +76% to blended fair value; trades 13x vs sector-normal 25x; street consensus +28%,thin 10% returns on equity; TENSION: claims market is +76% wrong on a liquid name,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
COROMANDEL,ACCUMULATE,0.742875305899026,high,54.6,Weakly-justified,claims market is +74% wrong on a liquid name,model sees +74% to blended fair value; returns on equity of 15% evidence a real franchise; street consensus +19%,TENSION: claims market is +74% wrong on a liquid name,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
BPCL,ACCUMULATE,0.7048989643179114,medium,66.0,Weakly-justified,claims market is +70% wrong on a liquid name,model sees +70% to blended fair value; returns on equity of 26% evidence a real franchise; trades 5x vs sector-normal 12x; Alpha Score 66 (multi-factor support); street consensus +9%,TENSION: claims market is +70% wrong on a liquid name,Rests on: sector-derived discount rate (ENERGY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
BALMLAWRIE,ACCUMULATE,0.7018439919232233,medium,58.8,Weakly-justified,claims market is +70% wrong on a liquid name,model sees +70% to blended fair value; trades 11x vs sector-normal 28x,thin 10% returns on equity; TENSION: claims market is +70% wrong on a liquid name,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
SBIN,ACCUMULATE,0.68349698865689,high,70.1,Weakly-justified,claims market is +68% wrong on a liquid name,model sees +68% to blended fair value; trades 11x vs sector-normal 16x; Alpha Score 70 (multi-factor support); street consensus +16%,TENSION: claims market is +68% wrong on a liquid name,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin)
KNRCON,ACCUMULATE,0.6571798777147871,medium,48.4,Weakly-justified,claims market is +66% wrong on a liquid name,model sees +66% to blended fair value; trades 8x vs sector-normal 15x; street consensus +22%,thin 8% returns on equity; TENSION: claims market is +66% wrong on a liquid name,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
PNB,ACCUMULATE,0.6224575127655444,high,65.0,Weakly-justified,claims market is +62% wrong on a liquid name,model sees +62% to blended fair value; trades 7x vs sector-normal 16x; Alpha Score 65 (multi-factor support); street consensus +14%,TENSION: claims market is +62% wrong on a liquid name,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin)
BANKINDIA,ACCUMULATE,0.6201736171478894,high,64.5,Weakly-justified,claims market is +62% wrong on a liquid name,model sees +62% to blended fair value; trades 6x vs sector-normal 16x; street consensus +7%,TENSION: claims market is +62% wrong on a liquid name,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Agree,
JKIL,ACCUMULATE,0.5957846448975664,medium,54.0,Justified,,model sees +60% to blended fair value; trades 10x vs sector-normal 15x; street consensus +39%,—,Rests on: sector-derived discount rate (CONSTRUCTION); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
KRISHANA,ACCUMULATE,0.5773369366241755,medium,69.3,Justified,,model sees +58% to blended fair value; returns on equity of 32% evidence a real franchise; Alpha Score 69 (multi-factor support),—,Rests on: sector-derived discount rate (CHEMICALS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
RAYMOND,ACCUMULATE,0.5595967725577297,medium,56.3,Justified,,model sees +56% to blended fair value; returns on equity of 19% evidence a real franchise; trades 13x vs sector-normal 20x,—,Rests on: sector-derived discount rate (REALTY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
KPIGREEN,ACCUMULATE,0.5465652485805131,medium,50.8,Justified,,model sees +55% to blended fair value; returns on equity of 17% evidence a real franchise,—,Rests on: sector-derived discount rate (UTILITIES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
J&KBANK,ACCUMULATE,0.5290796693926391,high,70.2,Justified,,model sees +53% to blended fair value; trades 8x vs sector-normal 16x; Alpha Score 70 (multi-factor support); street consensus +10%,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Agree,
INDIANB,ACCUMULATE,0.5280918851466232,high,71.3,Justified,,model sees +53% to blended fair value; trades 10x vs sector-normal 16x; Alpha Score 71 (multi-factor support); street consensus +18%,—,Rests on: sector-derived discount rate (BANK); statement-derived growth/margins; terminal book-multiple economics.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,threshold/judgment difference (<0.30 gap)
BSOFT,ACCUMULATE,0.5118322931452087,high,53.6,Justified,,model sees +51% to blended fair value; trades 16x vs sector-normal 25x; street consensus +36%,—,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Adjacent,
EIDPARRY,ACCUMULATE,0.5038251390914832,high,53.6,Weakly-justified,single-digit ROE 7% under a buy call,model sees +50% to blended fair value; trades 22x vs sector-normal 42x; street consensus +56%,thin 7% returns on equity; TENSION: single-digit ROE 7% under a buy call,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
DDEVPLSTIK,ACCUMULATE,0.4921630924180703,medium,64.3,Justified,,model sees +49% to blended fair value; returns on equity of 20% evidence a real franchise; trades 15x vs sector-normal 28x; street consensus +32%,—,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
RAYMONDREL,ACCUMULATE,0.4908872772882638,medium,43.6,Justified,,model sees +49% to blended fair value; returns on equity of 19% evidence a real franchise; trades 15x vs sector-normal 20x,—,Rests on: sector-derived discount rate (REALTY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
WEWORK,ACCUMULATE,0.4857261836148823,medium,65.0,Justified,,model sees +49% to blended fair value; returns on equity of 50% evidence a real franchise; Alpha Score 65 (multi-factor support); street consensus +23%,63x earnings vs sector-normal 20x,Rests on: sector-derived discount rate (REALTY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
SHAKTIPUMP,ACCUMULATE,0.43202171741322853,medium,37.3,Weakly-justified,own Alpha Score 37 (weak) contradicts the buy,model sees +43% to blended fair value; returns on equity of 15% evidence a real franchise,TENSION: own Alpha Score 37 (weak) contradicts the buy,Rests on: sector-derived discount rate (CAPITAL_GOODS); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
EIEL,ACCUMULATE,0.4281047517504901,medium,43.4,Justified,,model sees +43% to blended fair value; returns on equity of 15% evidence a real franchise,21x earnings vs sector-normal 15x,Rests on: sector-derived discount rate (UTILITIES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
JKTYRE,ACCUMULATE,0.40638887339469854,high,58.6,Justified,,model sees +41% to blended fair value; trades 15x vs sector-normal 24x; street consensus +21%,—,Rests on: sector-derived discount rate (AUTO); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
