ticker,archetype,eng_verdict,eng_mos,target_verdict,target_lo,target_hi,cause,vintage
ACC,CEMENT,ACCUMULATE,0.32539937591521073,REDUCE,850.0,1436.9,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
FSL,MANUFACTURING,ACCUMULATE,0.3156215229317665,AVOID,67.8,129.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
CYIENT,IT_SERVICES,ACCUMULATE,0.30966755714101935,AVOID,325.0,494.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SHARDAMOTR,MANUFACTURING,ACCUMULATE,0.30190783445645797,AVOID,408.9,849.2,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
CCL,CONSUMER,ACCUMULATE,0.2742199706751291,LOW CONF,380.2,789.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
AURIONPRO,IT_SERVICES,ACCUMULATE,0.2516966856975089,AVOID,461.9,624.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SHARDACROP,CHEMICALS,ACCUMULATE,0.2288048997495497,LOW CONF,866.0,2172.6,engine-bearish: trough extrapolation + AVOID asymmetry (VAL-10),OLD
LTM,IT_SERVICES,,,REDUCE,3400,4100,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 77%. pass1 [3400, 4150], audits [[3450, 4100], [3300, 3950]]. band 3400-4100 vs price 4441.4.",FRESH
AIIL,NBFC,ACCUMULATE,0.19990449054899223,LOW CONF,201.9,419.3,engine-rich: lender RI above my justified-P/B (review forecast ROE),OLD
NH,PHARMA,ACCUMULATE,0.199852053384534,LOW CONF,740.5,1538.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
MANYAVAR,CONSUMER_DISC,ACCUMULATE,0.19975445763242977,AVOID,168.7,350.5,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
BAJAJHLDNG,NBFC,ACCUMULATE,0.1809367581178994,REDUCE,7691.3,10405.9,engine-rich: lender RI above my justified-P/B (review forecast ROE),OLD
KARURVYSYA,BANK,ACCUMULATE,0.17477243229542636,BUY,355.6,501.7,threshold/judgment difference (<0.30 gap),OLD
WELCORP,CAPITAL_GOODS,ACCUMULATE,0.15732505348546919,AVOID,724.1,1503.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
MUTHOOTFIN,NBFC,ACCUMULATE,0.14179778211970068,BUY,3560.4,4817.0,threshold/judgment difference (<0.30 gap),OLD
EIHOTEL,CONSUMER,ACCUMULATE,0.13422470878334194,REDUCE,165.2,343.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
GOLDIAM,CONSUMER_DISC,ACCUMULATE,0.12197168200558707,AVOID,157.4,326.9,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
ECLERX,MANUFACTURING,ACCUMULATE,0.11751775809445907,LOW CONF,238.8,496.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LTTS,IT_SERVICES,ACCUMULATE,0.10228408394702394,LOW CONF,1215.7,2525.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PREMIERENE,CAPITAL_GOODS,,,AVOID,400,600,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 83%. pass1 [400, 700], audits [[250, 550], [300, 600]]. band 400-600 vs price 1035.5.",FRESH
WAAREERTL,UTILITIES,ACCUMULATE,0.07526131644586447,AVOID,421.3,875.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SANOFI,IT_SERVICES,ACCUMULATE,0.06588332698813522,REDUCE,1962.0,4074.9,threshold/judgment difference (<0.30 gap),OLD
PGHL,IT_SERVICES,ACCUMULATE,0.05213189631393012,REDUCE,3701.6,7688.0,threshold/judgment difference (<0.30 gap),OLD
HDFCBANK,BANK,REDUCE,-0.10004294254298185,BUY,659.6,1270.8,threshold/judgment difference (<0.30 gap),OLD
AHLUCONT,CONSTRUCTION,REDUCE,-0.10146094202444432,AVOID,278.7,445.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LOTUSDEV,MANUFACTURING,REDUCE,-0.10567518717280396,LOW CONF,36.1,75.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PICCADIL,CONSUMER,REDUCE,-0.10726409419373482,LOW CONF,174.4,362.2,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
ERIS,PHARMA,REDUCE,-0.11013115497264672,LOW CONF,516.9,1073.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SWARAJENG,AUTO,REDUCE,-0.11063858243947307,AVOID,1283.9,3220.9,threshold/judgment difference (<0.30 gap),OLD
FINCABLES,CAPITAL_GOODS,REDUCE,-0.1143090152071227,AVOID,380.9,515.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
ONGC,ENERGY,REDUCE,-0.12014379302252308,BUY,230.6,397.5,engine-bearish: trough extrapolation + AVOID asymmetry (VAL-10),OLD
LT,CONSTRUCTION,REDUCE,-0.1203839910909931,AVOID,1023.1,2258.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LUMAXIND,AUTO,REDUCE,-0.12101843143566807,AVOID,1900.8,4768.6,threshold/judgment difference (<0.30 gap),OLD
DHANUKA,CHEMICALS,REDUCE,-0.12338019369766606,BUY,665.6,1669.9,threshold/judgment difference (<0.30 gap),OLD
JLHL,PHARMA,REDUCE,-0.12491424591565009,AVOID,454.1,614.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
KPIL,CONSTRUCTION,REDUCE,-0.13172587851729722,AVOID,442.3,706.6,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
ADANIPORTS,MANUFACTURING,REDUCE,-0.1334937816963405,LOW CONF,388.2,806.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
JUBLFOOD,CONSUMER,REDUCE,-0.1347274051202592,LOW CONF,33.7,70.0,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
UNIVCABLES,MANUFACTURING,REDUCE,-0.13652521063326267,AVOID,328.8,450.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SEAMECLTD,LOGISTICS,REDUCE,-0.13653291325412686,AVOID,314.8,425.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
COFORGE,IT_SERVICES,REDUCE,-0.14336942824512658,LOW CONF,414.4,860.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
JAMNAAUTO,MANUFACTURING,REDUCE,-0.14554535695331,LOW CONF,37.0,76.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
VEDL,METAL,REDUCE,-0.15097640562299186,AVOID,92.1,231.0,threshold/judgment difference (<0.30 gap),OLD
RAMRAT,MANUFACTURING,REDUCE,-0.15894302401805763,LOW CONF,71.7,148.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
MEDPLUS,CONSUMER_DISC,REDUCE,-0.1600195877461016,AVOID,200.8,271.7,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
RAILTEL,TELECOM,REDUCE,-0.16031933147312705,AVOID,115.8,240.4,threshold/judgment difference (<0.30 gap),OLD
IDBI,BANK,REDUCE,-0.16099368132217937,LOW CONF,102.2,212.2,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin),OLD
V2RETAIL,CONSUMER_DISC,REDUCE,-0.16633877116091275,LOW CONF,43.6,90.5,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
STARCEMENT,CEMENT,REDUCE,-0.16886464383742977,AVOID,75.0,119.8,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
FINPIPE,MANUFACTURING,REDUCE,-0.170524853374463,AVOID,51.7,70.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
KANSAINER,CHEMICALS,REDUCE,-0.17116960144139085,AVOID,46.3,94.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
DABUR,CONSUMER,REDUCE,-0.17416172448816414,AVOID,131.3,177.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
TRUALT,CHEMICALS,REDUCE,-0.17663924474030077,AVOID,87.5,139.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
IKS,IT_SERVICES,REDUCE,-0.1796841222685075,LOW CONF,599.2,1244.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
KIRLOSENG,CAPITAL_GOODS,REDUCE,-0.18036396995331402,AVOID,421.6,587.2,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LUXIND,CONSUMER_DISC,REDUCE,-0.18051274738185905,AVOID,281.0,380.2,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
GLOBUSSPR,CONSUMER,REDUCE,-0.18545055517883266,AVOID,89.0,143.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
ARE&M,AUTO,REDUCE,-0.18811233002621836,AVOID,380.9,694.3,threshold/judgment difference (<0.30 gap),OLD
ITCHOTELS,CONSUMER,REDUCE,-0.1899591889486335,AVOID,32.8,48.5,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
HATSUN,CONSUMER,REDUCE,-0.19010729106929897,LOW CONF,225.4,468.1,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
STYL,NBFC,REDUCE,-0.1906048543926004,AVOID,174.1,235.5,threshold/judgment difference (<0.30 gap),OLD
WHIRLPOOL,CONSUMER_DISC,REDUCE,-0.19292911071055766,AVOID,188.7,324.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PSPPROJECT,CONSTRUCTION,REDUCE,-0.1979478737012485,AVOID,92.6,162.1,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
SHRIPISTON,AUTO,REDUCE,-0.1987610668281154,LOW CONF,1317.4,3305.0,threshold/judgment difference (<0.30 gap),OLD
PCBL,CHEMICALS,REDUCE,-0.20062864486108,AVOID,39.1,62.5,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
AWFIS,REALTY,REDUCE,-0.20471839341714457,AVOID,65.6,104.8,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
BANARISUG,CONSUMER,REDUCE,-0.21226683440825633,AVOID,1287.0,2062.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
TEXRAIL,CAPITAL_GOODS,REDUCE,-0.21696239933168252,AVOID,30.9,41.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
MARKSANS,IT_SERVICES,REDUCE,-0.2177199820411726,AVOID,126.2,170.7,threshold/judgment difference (<0.30 gap),OLD
LUMAXTECH,AUTO,REDUCE,-0.2188641886424065,LOW CONF,405.9,1018.4,threshold/judgment difference (<0.30 gap),OLD
FDC,IT_SERVICES,REDUCE,-0.22375551058854284,AVOID,191.2,258.7,threshold/judgment difference (<0.30 gap),OLD
VMM,CONSUMER,REDUCE,-0.23005997510124113,AVOID,19.5,26.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LATENTVIEW,IT_SERVICES,REDUCE,-0.23267100639763807,AVOID,105.8,143.2,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SKYGOLD,MANUFACTURING,REDUCE,-0.23365669886950627,LOW CONF,119.9,249.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
ENTERO,IT_SERVICES,REDUCE,-0.24071624525995827,AVOID,233.0,345.6,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
CIEINDIA,AUTO,REDUCE,-0.2411433271650268,AVOID,186.5,323.4,threshold/judgment difference (<0.30 gap),OLD
HINDZINC,METAL,,,REDUCE,355,400,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 82%. pass1 [355, 440], audits [[355, 390], [350, 400]]. band 355-400 vs price 535.9.",FRESH
TATAELXSI,IT_SERVICES,REDUCE,-0.24764024850858093,LOW CONF,1139.4,2366.4,threshold/judgment difference (<0.30 gap),OLD
BATAINDIA,CONSUMER_DISC,REDUCE,-0.24935293957064744,AVOID,121.6,179.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
HUDCO,NBFC,REDUCE,-0.2526688148752996,BUY,259.9,360.5,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin),OLD
ARVINDFASN,CONSUMER_DISC,REDUCE,-0.2527053131229254,LOW CONF,102.0,211.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
HINDUNILVR,CONSUMER,,,AVOID,1350,1560,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 67%. pass1 [1350, 1600], audits [[1350, 1560], [1150, 1555]]. band 1350-1560 vs price 2117.8.",FRESH
INDHOTEL,CONSUMER,REDUCE,-0.2588890982790591,LOW CONF,199.5,414.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
VBL,CONSUMER,,,REDUCE,245,310,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 94%. pass1 [245, 340], audits [[220, 310], [215, 305]]. band 245-310 vs price 451.35.",FRESH
THANGAMAYL,CONSUMER_DISC,REDUCE,-0.2869361205560856,LOW CONF,1094.9,2274.0,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
UTLSOLAR,MANUFACTURING,REDUCE,-0.28751921105657574,LOW CONF,68.0,141.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
VAIBHAVGBL,CONSUMER_DISC,REDUCE,-0.30839304559645203,LOW CONF,255.7,531.2,engine-bearish: compounder growth/CAP caps (VAL-02),OLD
CARYSIL,MANUFACTURING,REDUCE,-0.31157715990718804,LOW CONF,402.3,835.6,threshold/judgment difference (<0.30 gap),OLD
AVL,CONSUMER_DISC,REDUCE,-0.3118924927859808,LOW CONF,134.1,278.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PERSISTENT,IT_SERVICES,REDUCE,-0.312120830070549,LOW CONF,1530.6,3179.0,threshold/judgment difference (<0.30 gap),OLD
METROBRAND,CONSUMER_DISC,REDUCE,-0.32170037105935484,LOW CONF,181.2,376.3,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
AJANTPHARM,PHARMA,REDUCE,-0.32400143873828363,LOW CONF,1317.6,2736.5,threshold/judgment difference (<0.30 gap),OLD
RAINBOW,PHARMA,REDUCE,-0.3273676519129057,LOW CONF,320.4,665.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
HYUNDAI,AUTO,,,REDUCE,1350,1600,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 93%. pass1 [1350, 1700], audits [[1200, 1550], [1200, 1600]]. band 1350-1600 vs price 2018.2.",FRESH
EMCURE,PHARMA,REDUCE,-0.34679098410961756,LOW CONF,624.0,1296.1,threshold/judgment difference (<0.30 gap),OLD
SUPRIYA,IT_SERVICES,REDUCE,-0.34687599589732127,LOW CONF,256.2,532.0,threshold/judgment difference (<0.30 gap),OLD
ASKAUTOLTD,AUTO,REDUCE,-0.3567155373109824,LOW CONF,159.8,400.8,threshold/judgment difference (<0.30 gap),OLD
HAVELLS,CONSUMER_DISC,REDUCE,-0.36070730512972876,LOW CONF,279.0,579.4,threshold/judgment difference (<0.30 gap),OLD
TVSMOTOR,AUTO,REDUCE,-0.37464090114194487,LOW CONF,467.2,1172.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
ELGIEQUIP,CAPITAL_GOODS,REDUCE,-0.3761527807286723,LOW CONF,185.8,385.9,threshold/judgment difference (<0.30 gap),OLD
APARINDS,CAPITAL_GOODS,REDUCE,-0.37679126269729574,LOW CONF,3158.1,6559.1,threshold/judgment difference (<0.30 gap),OLD
MSUMI,AUTO,REDUCE,-0.38412139423620373,LOW CONF,9.0,22.6,threshold/judgment difference (<0.30 gap),OLD
RPGLIFE,IT_SERVICES,REDUCE,-0.3863443427045426,LOW CONF,733.5,1523.4,threshold/judgment difference (<0.30 gap),OLD
TARIL,CAPITAL_GOODS,REDUCE,-0.39665447527591535,LOW CONF,117.1,243.2,threshold/judgment difference (<0.30 gap),OLD
